iter	Passed	Remaining
0	139	139018
1	141	70734
2	144	48147
3	146	36415
4	147	29402
5	149	24750
6	150	21410
7	152	18963
8	158	17437
9	159	15837
10	161	14515
11	162	13405
12	164	12476
13	165	11670
14	167	10998
15	171	10532
16	173	10006
17	175	9563
18	177	9144
19	178	8757
20	180	8404
21	181	8080
22	185	7895
23	187	7625
24	189	7401
25	191	7183
26	193	6963
27	194	6768
28	196	6583
29	198	6409
30	200	6260
31	202	6110
32	203	5965
33	205	5828
34	206	5696
35	208	5571
36	209	5452
37	210	5341
38	212	5236
39	214	5155
40	216	5059
41	217	4966
42	219	4879
43	220	4801
44	222	4729
45	224	4656
46	226	4586
47	228	4525
48	230	4469
49	231	4405
50	233	4344
51	234	4282
52	236	4226
53	238	4170
54	239	4115
55	241	4062
56	242	4009
57	246	3996
58	248	3966
59	250	3919
60	251	3871
61	252	3825
62	254	3780
63	255	3740
64	257	3702
65	259	3677
66	261	3644
67	263	3607
68	264	3571
69	266	3535
70	267	3501
71	269	3467
72	277	3521
73	279	3492
74	280	3461
75	282	3430
76	284	3406
77	285	3378
78	287	3349
79	289	3325
80	290	3300
81	292	3277
82	293	3244
83	295	3218
84	296	3193
85	298	3170
86	299	3145
87	301	3122
88	310	3176
89	312	3156
90	313	3132
91	314	3108
92	316	3085
93	317	3063
94	322	3076
95	325	3065
96	327	3044
97	328	3022
98	329	3002
99	331	2982
100	332	2962
101	336	2961
102	338	2949
103	340	2932
104	341	2914
105	343	2898
106	345	2880
107	346	2863
108	348	2848
109	351	2840
110	352	2826
111	354	2810
112	356	2795
113	357	2779
114	359	2764
115	360	2747
116	361	2731
117	363	2718
118	368	2730
119	371	2725
120	373	2713
121	374	2697
122	376	2683
123	377	2668
124	379	2659
125	381	2648
126	384	2642
127	386	2630
128	387	2618
129	389	2605
130	391	2594
131	392	2582
132	398	2599
133	400	2589
134	402	2578
135	403	2566
136	405	2554
137	407	2542
138	408	2531
139	411	2526
140	413	2519
141	414	2505
142	416	2494
143	417	2483
144	419	2472
145	420	2461
146	422	2450
147	423	2440
148	429	2452
149	431	2444
150	433	2435
151	434	2425
152	436	2414
153	437	2403
154	439	2394
155	442	2395
156	444	2389
157	447	2384
158	448	2374
159	450	2365
160	451	2354
161	453	2346
162	456	2343
163	458	2335
164	460	2328
165	461	2320
166	463	2310
167	464	2302
168	466	2294
169	468	2286
170	472	2289
171	474	2284
172	476	2277
173	478	2269
174	479	2261
175	481	2252
176	482	2243
177	484	2237
178	487	2234
179	488	2227
180	490	2219
181	492	2211
182	493	2205
183	496	2201
184	498	2195
185	500	2190
186	502	2183
187	503	2176
188	505	2169
189	506	2161
190	513	2176
191	515	2170
192	517	2163
193	519	2156
194	520	2148
195	522	2141
196	525	2142
197	527	2137
198	529	2132
199	531	2126
200	533	2119
201	534	2112
202	536	2104
203	537	2098
204	550	2133
205	551	2127
206	554	2124
207	556	2119
208	558	2113
209	560	2109
210	597	2232
211	599	2228
212	602	2224
213	610	2243
214	613	2239
215	615	2233
216	619	2234
217	621	2230
218	625	2229
219	627	2224
220	629	2219
221	632	2215
222	639	2226
223	641	2221
224	643	2215
225	649	2222
226	675	2299
227	677	2293
228	679	2286
229	680	2278
230	683	2274
231	685	2270
232	687	2264
233	689	2257
234	691	2250
235	693	2244
236	695	2237
237	698	2236
238	710	2261
239	717	2271
240	719	2264
241	720	2258
242	723	2252
243	724	2245
244	726	2238
245	732	2243
246	734	2238
247	735	2231
248	737	2224
249	739	2218
250	740	2211
251	748	2221
252	750	2216
253	752	2210
254	754	2203
255	755	2196
256	762	2204
257	764	2198
258	766	2193
259	768	2187
260	770	2182
261	774	2180
262	776	2175
263	778	2169
264	780	2163
265	781	2157
266	783	2151
267	785	2145
268	791	2151
269	794	2146
270	795	2140
271	797	2134
272	799	2128
273	801	2122
274	803	2117
275	805	2114
276	808	2109
277	810	2104
278	811	2098
279	813	2092
280	815	2085
281	818	2083
282	820	2079
283	822	2073
284	824	2067
285	825	2061
286	827	2056
287	829	2050
288	831	2044
289	833	2040
290	836	2037
291	837	2031
292	839	2026
293	841	2020
294	843	2014
295	844	2009
296	851	2015
297	854	2013
298	856	2007
299	857	2001
300	859	1996
301	866	2003
302	869	1999
303	871	1995
304	873	1990
305	874	1984
306	882	1991
307	884	1986
308	885	1981
309	887	1975
310	889	1969
311	890	1964
312	893	1960
313	896	1957
314	898	1953
315	900	1949
316	902	1943
317	903	1938
318	905	1933
319	910	1934
320	915	1935
321	917	1931
322	919	1926
323	920	1921
324	925	1921
325	927	1918
326	929	1913
327	931	1908
328	933	1903
329	934	1897
330	936	1892
331	940	1891
332	941	1886
333	943	1882
334	945	1877
335	947	1871
336	948	1866
337	950	1861
338	955	1862
339	958	1859
340	960	1855
341	961	1850
342	963	1845
343	964	1840
344	975	1851
345	977	1846
346	978	1841
347	980	1836
348	981	1831
349	983	1827
350	986	1823
351	988	1819
352	990	1814
353	991	1809
354	993	1804
355	994	1799
356	996	1794
357	998	1791
358	1003	1791
359	1005	1788
360	1007	1783
361	1009	1778
362	1010	1773
363	1012	1769
364	1015	1765
365	1016	1761
366	1018	1757
367	1020	1753
368	1022	1748
369	1023	1743
370	1025	1738
371	1027	1733
372	1040	1749
373	1042	1744
374	1044	1740
375	1047	1737
376	1049	1733
377	1051	1729
378	1052	1725
379	1054	1720
380	1056	1715
381	1057	1711
382	1060	1708
383	1062	1704
384	1064	1700
385	1066	1696
386	1068	1692
387	1069	1687
388	1071	1683
389	1074	1680
390	1076	1676
391	1078	1672
392	1079	1667
393	1081	1663
394	1083	1658
395	1084	1654
396	1085	1649
397	1088	1645
398	1094	1648
399	1096	1644
400	1098	1640
401	1100	1636
402	1101	1632
403	1104	1629
404	1106	1626
405	1109	1623
406	1111	1619
407	1112	1614
408	1114	1610
409	1116	1606
410	1118	1603
411	1124	1604
412	1125	1600
413	1127	1596
414	1129	1591
415	1130	1587
416	1132	1583
417	1134	1579
418	1137	1577
419	1139	1573
420	1141	1569
421	1143	1565
422	1144	1561
423	1147	1558
424	1155	1563
425	1159	1562
426	1161	1558
427	1165	1557
428	1168	1555
429	1170	1552
430	1172	1548
431	1174	1544
432	1176	1540
433	1177	1536
434	1180	1533
435	1183	1530
436	1185	1526
437	1186	1522
438	1188	1518
439	1189	1514
440	1191	1510
441	1193	1506
442	1195	1503
443	1197	1499
444	1199	1496
445	1201	1492
446	1203	1488
447	1204	1484
448	1206	1480
449	1208	1476
450	1215	1479
451	1217	1476
452	1219	1472
453	1220	1468
454	1222	1464
455	1226	1462
456	1228	1460
457	1231	1456
458	1232	1453
459	1234	1449
460	1235	1445
461	1237	1441
462	1239	1437
463	1244	1437
464	1246	1434
465	1248	1430
466	1249	1426
467	1251	1422
468	1252	1418
469	1254	1414
470	1257	1411
471	1259	1408
472	1260	1404
473	1262	1401
474	1264	1397
475	1265	1393
476	1267	1389
477	1268	1385
478	1278	1390
479	1280	1386
480	1281	1382
481	1283	1379
482	1284	1375
483	1287	1372
484	1289	1369
485	1292	1366
486	1294	1363
487	1295	1359
488	1297	1355
489	1299	1352
490	1303	1351
491	1305	1348
492	1307	1344
493	1308	1340
494	1310	1337
495	1312	1333
496	1313	1329
497	1315	1326
498	1317	1322
499	1319	1319
500	1321	1315
501	1322	1312
502	1324	1308
503	1326	1305
504	1327	1301
505	1329	1297
506	1335	1298
507	1337	1295
508	1339	1292
509	1341	1288
510	1342	1284
511	1344	1281
512	1346	1278
513	1348	1275
514	1350	1271
515	1352	1268
516	1354	1265
517	1355	1261
518	1357	1258
519	1359	1254
520	1364	1254
521	1366	1251
522	1368	1247
523	1369	1244
524	1371	1240
525	1372	1237
526	1374	1233
527	1376	1230
528	1378	1227
529	1380	1224
530	1382	1220
531	1384	1217
532	1385	1214
533	1387	1210
534	1388	1207
535	1394	1206
536	1397	1204
537	1398	1201
538	1400	1197
539	1402	1194
540	1403	1191
541	1407	1189
542	1410	1187
543	1412	1183
544	1413	1180
545	1415	1176
546	1417	1173
547	1418	1170
548	1421	1168
549	1423	1164
550	1425	1161
551	1426	1158
552	1428	1155
553	1430	1151
554	1432	1148
555	1433	1144
556	1435	1141
557	1437	1138
558	1439	1135
559	1440	1132
560	1442	1128
561	1444	1125
562	1445	1122
563	1447	1118
564	1448	1115
565	1458	1118
566	1460	1114
567	1461	1111
568	1463	1108
569	1470	1109
570	1474	1107
571	1476	1104
572	1478	1101
573	1479	1098
574	1487	1099
575	1489	1096
576	1491	1093
577	1493	1090
578	1495	1087
579	1499	1085
580	1501	1082
581	1503	1079
582	1505	1076
583	1507	1073
584	1508	1070
585	1510	1067
586	1521	1070
587	1524	1068
588	1529	1067
589	1532	1065
590	1536	1063
591	1538	1060
592	1540	1057
593	1542	1054
594	1546	1052
595	1548	1049
596	1550	1046
597	1552	1043
598	1553	1040
599	1555	1037
600	1557	1033
601	1561	1032
602	1562	1028
603	1564	1025
604	1566	1022
605	1568	1019
606	1570	1016
607	1571	1013
608	1575	1011
609	1578	1009
610	1580	1006
611	1582	1003
612	1583	999
613	1585	996
614	1587	993
615	1590	991
616	1592	988
617	1593	985
618	1595	982
619	1597	978
620	1598	975
621	1600	972
622	1602	969
623	1606	967
624	1608	965
625	1610	962
626	1612	959
627	1613	955
628	1615	953
629	1617	950
630	1620	947
631	1622	944
632	1623	941
633	1625	938
634	1627	935
635	1628	932
636	1630	928
637	1631	925
638	1633	922
639	1635	920
640	1637	917
641	1639	914
642	1640	910
643	1642	907
644	1644	904
645	1645	901
646	1647	898
647	1649	896
648	1651	893
649	1653	890
650	1655	887
651	1656	884
652	1658	881
653	1660	878
654	1664	876
655	1665	873
656	1667	870
657	1669	867
658	1670	864
659	1672	861
660	1674	858
661	1676	856
662	1678	853
663	1680	850
664	1682	847
665	1684	844
666	1685	841
667	1687	838
668	1689	835
669	1694	834
670	1697	832
671	1698	829
672	1700	826
673	1702	823
674	1703	820
675	1707	818
676	1709	815
677	1711	812
678	1713	810
679	1715	807
680	1716	804
